ticker,name,sector,region,country,indices
UAL,United Airlines Holdings,Industrials,US,États-Unis,S&P 500
UBER,Uber,Industrials,US,États-Unis,S&P 500
UBI.PA,Ubisoft,video games,Europe,France,CAC Next 20
UBSG.SW,UBS Group AG,Financials,Europe,Suisse,SMI|STOXX Europe 600
UCB.BR,UCB,Health Care,Europe,Belgique,BEL 20|STOXX Europe 600
UCG.MI,UniCredit,Financials,Europe,Italie,EURO STOXX 50|FTSE MIB|STOXX Europe 600
UDR,"UDR, Inc.",Real Estate,US,États-Unis,S&P 500
UEM.L,Utilico Emerging Markets,Investment Trusts,Europe,Royaume-Uni,FTSE 250
UHR.SW,The Swatch Group Ag,,Europe,Suisse,STOXX Europe 600
UHS,Universal Health Services,Health Care,US,États-Unis,S&P 500
UKW.L,Greencoat UK Wind,"Gas, Water & Multiutilities",Europe,Royaume-Uni,FTSE 250
ULTA,Ulta Beauty,Consumer Discretionary,US,États-Unis,S&P 500
ULVR.L,Unilever,Personal goods,Europe,Royaume-Uni,FTSE 100|STOXX Europe 600
UMG.AS,Universal Music Group,Consumer Discretionary,Europe,Pays-Bas,AEX|STOXX Europe 600
UMI.BR,Umicore,Basic Materials,Europe,Belgique,BEL 20|STOXX Europe 600
UNA.AS,Unilever,Consumer Staples,Europe,Pays-Bas,AEX
UNH,UnitedHealth Group,Health Care,US,États-Unis,S&P 500
UNI.MC,Unicaja,Financial Services,Europe,Espagne,IBEX 35|STOXX Europe 600
UNI.MI,Unipol,Insurance,Europe,Italie,FTSE MIB|STOXX Europe 600
UNP,Union Pacific Corporation,Industrials,US,États-Unis,S&P 500
UPM.HE,UPM-Kymmene,Materials,Europe,Finlande,OMX Helsinki 25|STOXX Europe 600
UPR.IR,Uniphar,,Europe,Irlande,ISEQ 20
UPS,United Parcel Service,Industrials,US,États-Unis,S&P 500
URI,United Rentals,Industrials,US,États-Unis,S&P 500
URW.PA,Unibail-Rodamco-Westfield,Real Estate,Europe,France,CAC 40|STOXX Europe 600
USA.L,Baillie Gifford US Growth Trust,Investment Trusts,Europe,Royaume-Uni,FTSE 250
USB,U.S. Bancorp,Financials,US,États-Unis,S&P 500
UTG.L,Unite Group,Real estate investment trusts,Europe,Royaume-Uni,FTSE 250|STOXX Europe 600
UU.L,United Utilities,Multiline utilities,Europe,Royaume-Uni,FTSE 100
V,Visa Inc.,Financials,US,États-Unis,S&P 500
VACN.SW,Vat Group Ag,,Europe,Suisse,STOXX Europe 600
VALMT.HE,Valmet,Industrials,Europe,Finlande,OMX Helsinki 25|STOXX Europe 600
VAR.OL,Vår Energi ASA,offshore drilling and other services,Europe,Norvège,OBX|STOXX Europe 600
VATN.SW,Valiant Holding Ag,,Europe,Suisse,STOXX Europe 600
VCT.L,Victrex,Chemicals,Europe,Royaume-Uni,FTSE 250
VEEV,Veeva Systems,Health Care,US,États-Unis,S&P 500
VEIL.L,Vietnam Enterprise Investments,General Financial,Europe,Royaume-Uni,FTSE 250
VEND.OL,Vend Marketplaces,,Europe,Norvège,STOXX Europe 600
VER.VI,Verbund Ag,,Europe,Autriche,STOXX Europe 600
VICI,Vici Properties,Real Estate,US,États-Unis,S&P 500
VIE.PA,Veolia,Industrials,Europe,France,CAC 40|STOXX Europe 600
VIV.PA,Vivendi,consumer discretionary,Europe,France,CAC Next 20
VK.PA,Vallourec Sa,,Europe,France,STOXX Europe 600
VLO,Valero Energy,Energy,US,États-Unis,S&P 500
VLTO,Veralto,Industrials,US,États-Unis,S&P 500
VLX.L,Volex,Industrial Goods and Services,Europe,Royaume-Uni,FTSE 250
VMC,Vulcan Materials Company,Materials,US,États-Unis,S&P 500
VMRK,Vivmark Residential,Real Estate,US,États-Unis,S&P 500
VNA.DE,Vonovia,Real Estate,Europe,Allemagne,DAX|STOXX Europe 600
VOD.L,Vodafone Group,Mobile telecommunications,Europe,Royaume-Uni,FTSE 100|STOXX Europe 600
VOE.VI,Voestalpine Ag,,Europe,Autriche,STOXX Europe 600
VOF.L,VinaCapital Vietnam Opportunity Fund,General Financial,Europe,Royaume-Uni,FTSE 250
VOLV-B.ST,Volvo B,Industrials,Europe,Suède,OMX Stockholm 30|STOXX Europe 600
VOW.DE,Volkswagen Group,Consumer Discretionary,Europe,Allemagne,EURO STOXX 50
VOW3.DE,Volkswagen Group,Automotive,Europe,Allemagne,DAX|STOXX Europe 600
VPK.AS,Koninklijke Vopak,,Europe,Pays-Bas,STOXX Europe 600
VRSK,Verisk Analytics,Industrials,US,États-Unis,S&P 500
VRSN,Verisign,Information Technology,US,États-Unis,S&P 500
VRT,Vertiv,Industrials,US,États-Unis,S&P 500
VRTX,Vertex Pharmaceuticals,Health Care,US,États-Unis,S&P 500
VST,Vistra Corp.,Utilities,US,États-Unis,S&P 500
VSURE.ST,Verisure Plc,,Europe,Suède,STOXX Europe 600
VSVS.L,Vesuvius,General Industrials,Europe,Royaume-Uni,FTSE 250
VTR,Ventas,Real Estate,US,États-Unis,S&P 500
VTRS,Viatris,Health Care,US,États-Unis,S&P 500
VTY.L,Vistry Group,Home Construction,Europe,Royaume-Uni,FTSE 250
VWS.CO,Vestas Wind Systems,Energy,Europe,Danemark,OMX Copenhagen 25|STOXX Europe 600
VZ,Verizon,Communication Services,US,États-Unis,S&P 500
VZN.SW,Vz Holding Ag,,Europe,Suisse,STOXX Europe 600
WAB,Wabtec,Industrials,US,États-Unis,S&P 500
WAT,Waters Corporation,Health Care,US,États-Unis,S&P 500
WAWI.OL,Wallenius Wilhelmsen,marine transportation,Europe,Norvège,OBX
WBD,Warner Bros. Discovery,Communication Services,US,États-Unis,S&P 500
WDAY,"Workday, Inc.",Information Technology,US,États-Unis,S&P 500
WDC,Western Digital,Information Technology,US,États-Unis,S&P 500
WDP.BR,WDP [nl],Real Estate,Europe,Belgique,BEL 20|STOXX Europe 600
WEC,WEC Energy Group,Utilities,US,États-Unis,S&P 500
WEIR.L,Weir,Industrial goods and services,Europe,Royaume-Uni,FTSE 100|STOXX Europe 600
WELL,Welltower,Real Estate,US,États-Unis,S&P 500
WFC,Wells Fargo,Financials,US,États-Unis,S&P 500
WISE.L,Wise Plc Class A,,Europe,Royaume-Uni,STOXX Europe 600
WIX.L,Wickes,Retailers,Europe,Royaume-Uni,FTSE 250
WIZZ.L,Wizz Air,Travel & Leisure,Europe,Royaume-Uni,FTSE 250
WKL.AS,Wolters Kluwer,Industrials,Europe,Pays-Bas,EURO STOXX 50|AEX|STOXX Europe 600
WKP.L,Workspace Group,Real Estate Investment Trusts,Europe,Royaume-Uni,FTSE 250
WM,Waste Management,Industrials,US,États-Unis,S&P 500
WMB,Williams Companies,Energy,US,États-Unis,S&P 500
WMT,Walmart,Consumer Staples,US,États-Unis,S&P 500
WOSG.L,Watches of Switzerland,Personal Goods,Europe,Royaume-Uni,FTSE 250
WPP.L,WPP,Media,Europe,Royaume-Uni,FTSE 250|STOXX Europe 600
WRB,W. R. Berkley Corporation,Financials,US,États-Unis,S&P 500
WRT1V.HE,Wärtsilä,Industrials,Europe,Finlande,OMX Helsinki 25|STOXX Europe 600
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,US,États-Unis,S&P 500
WST,West Pharmaceutical Services,Health Care,US,États-Unis,S&P 500
WTB.L,Whitbread,Retail hospitality,Europe,Royaume-Uni,FTSE 100|STOXX Europe 600
WTW,Willis Towers Watson,Financials,US,États-Unis,S&P 500
WWH.L,Worldwide Healthcare Trust,Investment Trusts,Europe,Royaume-Uni,FTSE 250
WY,Weyerhaeuser,Real Estate,US,États-Unis,S&P 500
WYNN,Wynn Resorts,Consumer Discretionary,US,États-Unis,S&P 500
XEL,Xcel Energy,Utilities,US,États-Unis,S&P 500
XOM,ExxonMobil,Energy,US,États-Unis,S&P 500
XPP.L,XP Power,Industrial Goods and Services,Europe,Royaume-Uni,FTSE 250
XPS.L,XPS Pensions,Financial Services,Europe,Royaume-Uni,FTSE 250
XTB.WA,Xtb,,Europe,Pologne,STOXX Europe 600
XYL,Xylem Inc.,Industrials,US,États-Unis,S&P 500
XYZ,"Block, Inc.",Financials,US,États-Unis,S&P 500
YAR.OL,Yara International,fertilizers,Europe,Norvège,OBX|STOXX Europe 600
YUM,Yum! Brands,Consumer Discretionary,US,États-Unis,S&P 500
ZAL.DE,Zalando,E-Commerce,Europe,Allemagne,DAX|STOXX Europe 600
ZBH,Zimmer Biomet,Health Care,US,États-Unis,S&P 500
ZBRA,Zebra Technologies,Information Technology,US,États-Unis,S&P 500
ZEAL.CO,Zealand Pharma,Health Care,Europe,Danemark,OMX Copenhagen 25|STOXX Europe 600
ZEG.L,Zegona Communications Plc,,Europe,Royaume-Uni,STOXX Europe 600
ZIG.L,Zigup,Support Services,Europe,Royaume-Uni,FTSE 250
ZTS,Zoetis,Health Care,US,États-Unis,S&P 500
ZURN.SW,Zurich Insurance Group AG,Financials,Europe,Suisse,SMI|STOXX Europe 600
nan.SW,,,Europe,Suisse,SMI
